Address,Suburb,Price,Bedrooms,Bathrooms,Cars,Land Size,Property Type,URL,Notes,Listed Date
3 Eildon Street,Doncaster,$2,100,000,4,3,2,1063m²,House,https://www.realestate.com.au/property-house-vic-doncaster-150266176,,Mar 2026
5 TBC,Doncaster,From $2,000,000,5,3,2,597m²,House,https://www.realestate.com.au/property-house-vic-doncaster-150234204,,Mar 2026
43-45 Deep Creek Drive,Doncaster East,$1,850,000 - $1,950,000,4,2,5,1590m²,House,https://www.realestate.com.au/property-house-vic-doncaster+east-150452552,,Mar 2026
30 Kawarren Street,Balwyn North,$1,950,000 - $2,050,000,4,2,2,673m²,House,https://www.realestate.com.au/property-house-vic-balwyn+north-150401280,,Mar 2026
40 Francesca Street,Mont Albert North,$2,000,000 - $2,200,000,4,2,2,930m²,House,https://www.realestate.com.au/property-house-vic-mont+albert+north-150548992,,Mar 2026
259 Serpells Road,Templestowe,$2,100,000,5,3,3,785m²,House,https://www.realestate.com.au/property-house-vic-templestowe-149010240,,Mar 2026
2 Sturdee Street,Box Hill,$2,100,000,5,2,4,683m²,House,https://www.realestate.com.au/property-house-vic-box+hill-148356656,,Mar 2026
62 Devon Drive,Doncaster East,$1,950,000 - $2,100,000,4,2,2,868m²,House,https://www.realestate.com.au/property-house-vic-doncaster+east-149555972,,Mar 2026
239 Serpells Road,Templestowe,$1,800,000 - $1,980,000,4,2,2,608m²,House,https://www.realestate.com.au/property-house-vic-templestowe-150516072,,Mar 2026
327 Mont Albert Road,Mont Albert,$1,850,000 - $2,000,000,4,2,2,650m²,House,https://www.realestate.com.au/property-house-vic-mont+albert-150507312,,Mar 2026
1 Camelot Court,Doncaster East,$2,050,000 - $2,300,000,5,3,2,850m²,House,https://www.realestate.com.au/property-house-vic-doncaster+east-150494900,,Mar 2026
11 Central Avenue,Balwyn North,$2,100,000 - $2,300,000,4,2,2,776m²,House,https://www.realestate.com.au/property-house-vic-balwyn+north-150490400,,Mar 2026
25 Nevada Street,Balwyn North,$1,900,000 - $2,050,000,4,2,2,705m²,House,https://www.realestate.com.au/property-house-vic-balwyn+north-150487752,,Mar 2026
19 Millicent Avenue,Balwyn North,$2,000,000 - $2,200,000,4,2,2,780m²,House,https://www.realestate.com.au/property-house-vic-balwyn+north-150325496,,Mar 2026
121 Greythorn Road,Balwyn North,$1,900,000 - $1,990,000,4,2,2,708m²,House,https://www.realestate.com.au/property-house-vic-balwyn+north-150323264,,Mar 2026
33 Bilby Street,Templestowe Lower,$1,900,000 - $2,090,000,5,4,4,758m²,House,https://www.realestate.com.au/property-house-vic-templestowe+lower-150473112,,Mar 2026
13 Hillhouse Road,Templestowe,$2,000,000 - $2,200,000,4,3,2,630m²,House,https://www.realestate.com.au/property-house-vic-templestowe-146566180,,Mar 2026
8 Baratta St,Doncaster East,$1,800,000 - $1,980,000,5,3,2,736m²,House,https://www.realestate.com.au/property-house-vic-doncaster+east-150465508,,Mar 2026
56A Deep Creek Drive,Doncaster East,$2,100,000 - $2,300,000,5,3,3,1604m²,House,https://www.realestate.com.au/property-house-vic-doncaster+east-147163852,,Mar 2026
2 Bicentennial Court,Doncaster East,$1,800,000,5,2,2,705m²,House,https://www.realestate.com.au/property-house-vic-doncaster+east-150145400,,Mar 2026
3 Lantana Street,Doncaster East,$1,850,000 - $1,950,000,5,3,2,649m²,House,https://www.realestate.com.au/property-house-vic-doncaster+east-150434384,,Mar 2026
11 Carrigal Street,Balwyn,$2,000,000 - $2,200,000,4,2,3,725m²,House,https://www.realestate.com.au/property-house-vic-balwyn-150195028,,Mar 2026
16 Woolcock Avenue,Kew East,$2,000,000 - $2,200,000,5,2,3,663m²,House,https://www.realestate.com.au/property-house-vic-kew+east-150571784,,Mar 2026
18 Warrigal Road,Surrey Hills,$1,800,000 - $1,950,000,4,2,2,973m²,House,https://www.realestate.com.au/property-house-vic-surrey+hills-150399864,,Mar 2026
3 Varzin Avenue,Surrey Hills,$2,100,000 - $2,300,000,4,4,2,873m²,House,https://www.realestate.com.au/property-house-vic-surrey+hills-150536608,,Mar 2026
8 Georgina Parade,Camberwell,$2,000,000 - $2,200,000,4,2,2,654m²,House,https://www.realestate.com.au/property-house-vic-camberwell-150340704,,Mar 2026
26 Dudley Parade,Canterbury,$2,100,000 - $2,310,000,4,2,2,561m²,House,https://www.realestate.com.au/property-house-vic-canterbury-150165100,,Mar 2026
59A Florence Road,Surrey Hills,$1,800,000 - $1,980,000,4,2,3,803m²,House,https://www.realestate.com.au/property-house-vic-surrey+hills-150480320,,Mar 2026
998 Toorak Road,Camberwell,$2,000,000 - $2,200,000,5,4,2,698m²,House,https://www.realestate.com.au/property-house-vic-camberwell-150474180,,Mar 2026
19 Baker Avenue,Kew East,$1,900,000 - $2,050,000,4,3,2,650m²,House,https://www.realestate.com.au/property-house-vic-kew+east-150477180,,Mar 2026
22 French Street,Camberwell,$1,900,000 - $2,090,000,4,2,2,790m²,House,https://www.realestate.com.au/property-house-vic-camberwell-150473744,,Mar 2026
1002 Toorak Road,Camberwell,$1,975,000 - $2,150,000,4,2,3,700m²,House,https://www.realestate.com.au/property-house-vic-camberwell-149321580,,Mar 2026
25 Flinders Street,Bulleen,$2,000,000 - $2,200,000,5,3,2,557m²,House,https://www.realestate.com.au/property-house-vic-bulleen-150258428,,Mar 2026
1634 Malvern Road,Glen Iris,$1,990,000,4,2,4,684m²,House,https://www.realestate.com.au/property-house-vic-glen+iris-149306800,,Mar 2026
7 Stonehaven Avenue,Malvern East,$2,100,000 - $2,300,000,4,2,2,576m²,House,https://www.realestate.com.au/property-house-vic-malvern+east-150408252,,Mar 2026
19 Nerissa Street,Glen Iris,$2,100,000 - $2,300,000,4,2,2,830m²,House,https://www.realestate.com.au/property-house-vic-glen+iris-150404992,,Mar 2026
13 Albert Street,Caulfield North,$1,925,000 - $2,075,000,5,2,2,612m²,House,https://www.realestate.com.au/property-house-vic-caulfield+north-150469520,,Mar 2026
76 Bambra Road,Caulfield North,$1,900,000 - $2,090,000,4,2,2,751m²,House,https://www.realestate.com.au/property-house-vic-caulfield+north-150467324,,Mar 2026
7 Lillian Street,Glen Iris,$1,900,000 - $2,000,000,4,3,1,560m²,House,https://www.realestate.com.au/property-house-vic-glen+iris-150336224,,Mar 2026
14 Atkins Avenue,Glen Iris,$1,900,000 - $1,995,000,4,2,2,609m²,House,https://www.realestate.com.au/property-house-vic-glen+iris-149381344,,Mar 2026
3 Avenue Victoria,Hawthorn East,$2,100,000 - $2,300,000,4,2,2,748m²,House,https://www.realestate.com.au/property-house-vic-hawthorn+east-150471068,,Mar 2026
25 Myrtle Street,Ivanhoe,$2,100,000 - $2,300,000,4,2,2,856m²,House,https://www.realestate.com.au/property-house-vic-ivanhoe-150559276,,Mar 2026
121 Ford Street,Ivanhoe,$1,900,000 - $1,990,000,4,2,2,556.8m²,House,https://www.realestate.com.au/property-house-vic-ivanhoe-150063068,,Mar 2026
42 Rotherwood Road,Ivanhoe East,$2.1m - $2.2m,4,3,4,780m²,House,https://www.realestate.com.au/property-house-vic-ivanhoe+east-150401796,,Mar 2026
61 Bond Street,Ivanhoe,$1,995,000 - $2,190,000,5,4,2,572m²,House,https://www.realestate.com.au/property-house-vic-ivanhoe-150174460,,Mar 2026
4 Naroon Road,Alphington,$1,900,000 - $2,090,000,4,2,2,611m²,House,https://www.realestate.com.au/property-house-vic-alphington-150489512,,Mar 2026
20 Langs Road,Ivanhoe,$2,000,000 - $2,100,000,4,2,2,1015m²,House,https://www.realestate.com.au/property-house-vic-ivanhoe-150478700,,Mar 2026
7 Merther Road,Ivanhoe,$2,100,000 - $2,300,000,6,4,2,560m²,House,https://www.realestate.com.au/property-house-vic-ivanhoe-150314076,,Mar 2026
5 Ronley Street,Blackburn,$1,800,000 - $1,900,000,5,3,3,697m²,House,https://www.realestate.com.au/property-house-vic-blackburn-150333888,,Mar 2026
28 Wellington Avenue,Blackburn,$2,000,000 - $2,200,000,5,3,1,651m²,House,https://www.realestate.com.au/property-house-vic-blackburn-150380584,,Mar 2026
84 Whitehorse Road,Blackburn,$2,000,000 - $2,200,000,5,2,4,982m²,House,https://www.realestate.com.au/property-house-vic-blackburn-137154198,,Mar 2026
9 John Street,Blackburn,$1,800,000 - $1,900,000,4,2,2,1043m²,House,https://www.realestate.com.au/property-house-vic-blackburn-150484984,,Mar 2026
4 Verona Street,Box Hill South,$1,980,000,4,2,2,828m²,House,https://www.realestate.com.au/property-house-vic-box+hill+south-148762244,,Mar 2026
72 Heads Road,Donvale,$2,000,000 - $2,200,000,4,2,5,4027m²,House,https://www.realestate.com.au/property-house-vic-donvale-150399768,,Mar 2026
26 Beaver Street,Box Hill South,$1,830,000,5,3,4,731m²,House,https://www.realestate.com.au/property-house-vic-box+hill+south-150068992,,Mar 2026
5 Gibson Street,Box Hill South,$2,000,000 - $2,200,000,5,3,2,646m²,House,https://www.realestate.com.au/property-house-vic-box+hill+south-149257864,,Mar 2026
19 Hamel Street,Box Hill South,$1,900,000 - $2,090,000,4,2,2,725m²,House,https://www.realestate.com.au/property-house-vic-box+hill+south-150471956,,Mar 2026
12 Coonawarra Drive,Vermont South,$2,000,000 - $2,200,000,6,3,2,779m²,House,https://www.realestate.com.au/property-house-vic-vermont+south-150149788,,Mar 2026
7 Warrock Avenue,Donvale,$2.1m - $2.3m,4,2,2,4041m²,House,https://www.realestate.com.au/property-house-vic-donvale-150443840,,Mar 2026
25 Olympiad Crescent,Box Hill North,$2,000,000,4,4,2,627m²,House,https://www.realestate.com.au/property-house-vic-box+hill+north-150449184,,Mar 2026
6 Mozart Circle,Donvale,$1,950,000 - $2,145,000,5,3,18,1500m²,House,https://www.realestate.com.au/property-house-vic-donvale-149772248,,Mar 2026
132 Murray Street,Caulfield,$1,900,000 - $2,050,000,4,2,3,793m²,House,https://www.realestate.com.au/property-house-vic-caulfield-150466364,,Mar 2026
41 Jasper Road,Bentleigh,$1,900,000 - $2,090,000,4,3,2,724m²,House,https://www.realestate.com.au/property-house-vic-bentleigh-150245784,,Mar 2026
11 Hawson Avenue,Glen Huntly,$2,000,000 - $2,200,000,4,2,3,725m²,House,https://www.realestate.com.au/property-house-vic-glen+huntly-150392532,,Mar 2026
8 Blanche Street,Elsternwick,$2,000,000 - $2,200,000,4,2,3,716m²,House,https://www.realestate.com.au/property-house-vic-elsternwick-150392248,,Mar 2026
16 Harding Street,Bentleigh,$1,800,000,4,2,4,658m²,House,https://www.realestate.com.au/property-house-vic-bentleigh-150426468,,Mar 2026
22 Ames Avenue,Carnegie,$1,900,000 - $2,050,000,4,2,1,690m²,House,https://www.realestate.com.au/property-house-vic-carnegie-150541036,,Mar 2026
34 Emma Street,Caulfield South,$2,100,000 - $2,310,000,4,2,2,650m²,House,https://www.realestate.com.au/property-house-vic-caulfield+south-150463336,,Mar 2026
62 Bealiba Road,Caulfield South,$2,100,000 - $2,300,000,4,2,2,626m²,House,https://www.realestate.com.au/property-house-vic-caulfield+south-150479564,,Mar 2026
21 Maud Street,Ormond,$2,070,000,4,2,3,628m²,House,https://www.realestate.com.au/property-house-vic-ormond-150194912,,Mar 2026
15 Wimmera Street,Ormond,$1,850,000,4,2,2,568m²,House,https://www.realestate.com.au/property-house-vic-ormond-150342756,,Mar 2026
2 Walker Street,Murrumbeena,$1,900,000 - $2,050,000,4,2,6,781m²,House,https://www.realestate.com.au/property-house-vic-murrumbeena-150342592,,Mar 2026
18 Wright Street,Bentleigh,$1,950,000 - $2,145,000,4,2,2,766m²,House,https://www.realestate.com.au/property-house-vic-bentleigh-150441048,,Mar 2026
41 Mortimore Street,Bentleigh,$2,000,000 - $2,100,000,5,3,4,757m²,House,https://www.realestate.com.au/property-house-vic-bentleigh-150484748,,Mar 2026
243 North Road,Caulfield South,$2,000,000 - $2,150,000,4,2,4,651m²,House,https://www.realestate.com.au/property-house-vic-caulfield+south-150467440,,Mar 2026
343 Koornang Road,Ormond,$1,899,950,5,3,3,664m²,House,https://www.realestate.com.au/property-house-vic-ormond-149319800,,Mar 2026
7 Austin Street,Hughesdale,$2,000,000 - $2,200,000,5,2,2,625m²,House,https://www.realestate.com.au/property-house-vic-hughesdale-150230208,,Mar 2026
